experiment	item	condition	Order	Syntax	context	text	woi	design	record	question	qType
liaispe	7	1	fast-slow	close	Nous savons que vous avez prévu faire de nombreux appels ce lundi. 	Nous téléphonerez-vous ensuite? Nous pourrions discuter du pic-nic de samedi prochain.	.Nous téléphonerez-vous_1 ensuite_2? Nous pourrions discuter du pic-nic de samedi prochain.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	7	2	fast-slow	far	Nous savons que vous avez prévu faire de nombreux appels ce lundi. 	Nous téléphonerez-vous? Ensuite, nous pourrions discuter du pic-nic de samedi prochain.	Nous téléphonerez-vous_1? Ensuite_2, nous pourrions discuter du pic-nic de samedi prochain.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	7	3	slow-fast	close	Nous savons que vous avez prévu faire de nombreux appels ce lundi. 	Nous téléphonerez-vous ensuite? Nous pourrions discuter du pic-nic de samedi prochain.	Nous téléphonerez-vous_1 ensuite_2? Nous pourrions discuter du pic-nic de samedi prochain.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	7	4	slow-fast	far	Nous savons que vous avez prévu faire de nombreux appels ce lundi. 	Nous téléphonerez-vous? Ensuite, nous pourrions discuter du pic-nic de samedi prochain.	Nous téléphonerez-vous_1? Ensuite_2, nous pourrions discuter du pic-nic de samedi prochain.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	8	1	fast-slow	close	Plusieurs personnes ont perdu l'appétit dû à la grippe qui court.	Marie ne mange pas à l’excès. Sa mère cuisine des plats depuis dimanche.	Marie ne mange pas_1 à_2 l’excès. Sa mère cuisine des plats depuis dimanche.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	8	2	fast-slow	far	Plusieurs personnes ont perdu l'appétit dû à la grippe qui court.	Marie ne mange pas. À l’excès, sa mère cuisine des plats depuis dimanche.	Marie ne mange pas_1. À_2 l’excès, sa mère cuisine des plats depuis dimanche.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	8	3	slow-fast	close	Plusieurs personnes ont perdu l'appétit dû à la grippe qui court.	Marie ne mange pas à l’excès. Sa mère cuisine des plats depuis dimanche.	Marie ne mange pas_1 à_2 l’excès. Sa mère cuisine des plats depuis dimanche.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	8	4	slow-fast	far	Plusieurs personnes ont perdu l'appétit dû à la grippe qui court.	Marie ne mange pas. À l’excès, sa mère cuisine des plats depuis dimanche.	Marie ne mange pas_1. À_2 l’excès, sa mère cuisine des plats depuis dimanche.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	9	1	fast-slow	close	Il y a plusieurs années, Clara aimait créer des oeuvres d'arts dans cette ville.	Cependant, ma petite soeur ne peint plus ici. Il n’y a plus de studio d’art disponible.	Cependant, ma petite soeur ne peint plus_1 ici_2. Il n’y a plus de studio d’art disponible.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	9	2	fast-slow	far	Il y a plusieurs années, Clara aimait créer des oeuvres d'arts dans cette ville.	Cependant, ma petite soeur ne peint plus. Ici il n’y a plus de studio d’art disponible.	Cependant, ma petite soeur ne peint plus_1. Ici_2 il n’y a plus de studio d’art disponible.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	9	3	slow-fast	close	Il y a plusieurs années, Clara aimait créer des oeuvres d'arts dans cette ville.	Cependant, ma petite soeur ne peint plus ici. Il n’y a plus de studio d’art disponible.	Cependant, ma petite soeur ne peint plus_1 ici_2. Il n’y a plus de studio d’art disponible.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	9	4	slow-fast	far	Il y a plusieurs années, Clara aimait créer des oeuvres d'arts dans cette ville.	Cependant, ma petite soeur ne peint plus. Ici il n’y a plus de studio d’art disponible.	Cependant, ma petite soeur ne peint plus_1. Ici_2 il n’y a plus de studio d’art disponible.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	10	1	fast-slow	close	Ma petite cousine éprouve des conflits avec ses camarades. Je lui ai conseillé de travailler sur sa communication. Je lui ai dit: "	Parlez-vous ainsi. Vos amitiés dureront plus longtemps.	Parlez-vous_1 ainsi_2. Vos amitiés dureront plus longtemps.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	10	2	fast-slow	far	Ma petite cousine éprouve des conflits avec ses camarades. Je lui ai conseillé de travailler sur sa communication. Je lui ai dit: "	Parlez vous. Ainsi, vos amitiés dureront plus longtemps.	Parlez vous_1. Ainsi_2, vos amitiés dureront plus longtemps.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	10	3	slow-fast	close	Ma petite cousine éprouve des conflits avec ses camarades. Je lui ai conseillé de travailler sur sa communication. Je lui ai dit: "	Parlez-vous ainsi. Vos amitiés dureront plus longtemps.	Parlez-vous_1 ainsi_2. Vos amitiés dureront plus longtemps.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	10	4	slow-fast	far	Ma petite cousine éprouve des conflits avec ses camarades. Je lui ai conseillé de travailler sur sa communication. Je lui ai dit: "	Parlez vous. Ainsi, vos amitiés dureront plus longtemps.	 Parlez vous_1. Ainsi_2, vos amitiés dureront plus longtemps.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	11	1	fast-slow	close	Autrefois, mes collègues vétérinaires et moi-même étions dévoués à la santé des animaux de compagnie.	Nous les vaccinions annuellement. Le taux de parasites continue d’augmenter, hélas.	Nous les vaccinions_1 annuellement_2. Le taux de parasites continue d’augmenter, hélas.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	11	2	fast-slow	far	Autrefois, mes collègues vétérinaires et moi-même étions dévoués à la santé des animaux de compagnie.	Nous les vaccinions. Annuellement, le taux de parasites continue d’augmenter, hélas.	Nous les vaccinions_1. Annuellement_2, le taux de parasites continue d’augmenter, hélas.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	11	3	slow-fast	close	Autrefois, mes collègues vétérinaires et moi-même étions dévoués à la santé des animaux de compagnie.	Nous les vaccinions annuellement. Le taux de parasites continue d’augmenter, hélas.	Nous les vaccinions_1 annuellement_2. Le taux de parasites continue d’augmenter, hélas.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	11	4	slow-fast	far	Autrefois, mes collègues vétérinaires et moi-même étions dévoués à la santé des animaux de compagnie.	Nous les vaccinions. Annuellement, le taux de parasites continue d’augmenter, hélas.	Nous les vaccinions_1. Annuellement_2, le taux de parasites continue d’augmenter, hélas.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	12	1	fast-slow	close	Deux politiciens de partis adverses ont décidé d'unir leur forces. Ils se sont dit: "	Entraidons-nous encore. Ce pays a besoin de notre solidarité.	Entraidons-nous_1 encore_2. Ce pays a besoin de notre solidarité.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	12	2	fast-slow	far	Deux politiciens de partis adverses ont décidé d'unir leur forces. Ils se sont dit: "	Entraidons-nous. Encore, ce pays a besoin de notre solidarité.	Entraidons-nous_1. Encore_2, ce pays a besoin de notre solidarité.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	12	3	slow-fast	close	Deux politiciens de partis adverses ont décidé d'unir leur forces. Ils se sont dit: "	Entraidons-nous encore. Ce pays a besoin de notre solidarité.	Entraidons-nous_1 encore_2. Ce pays a besoin de notre solidarité.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
liaispe	12	4	slow-fast	far	Deux politiciens de partis adverses ont décidé d'unir leur forces. Ils se sont dit: "	Entraidons-nous. Encore, ce pays a besoin de notre solidarité.	Entraidons-nous_1. Encore_2, ce pays a besoin de notre solidarité.	Within	y	How natural do you think this response was? \n\n(1=completely unnatural; 8=completely natural)	jm
