experiment	item	condition	conditionlabel	focus	phrasing	intonation	context	text	lab	woi	design	record	session	instructions	retrial
doff	2	5	wh-o+sv-o+ct-f	O	SV	CT-F	You told me about who started a fight with Anna. But what about Morgan? Who started a fight with him?	Nolan started a fight with Morgan.	Nolan started a fight with Morgan	Nolan_1 started a fight with Morgan_2	LatinSquare	y	2	instructions.txt	y
doff	2	6	wh-o+sv-o+f-ct	O	SV	F-CT	You told me about who started a fight with Anna. But what about Morgan? Who started a fight with him?	Nolan started a fight with Morgan.	Nolan started a fight with Morgan	Nolan_1 started a fight with Morgan_2	LatinSquare	y	2	instructions.txt	y
doff	2	7	wh-o+s-vo+ct-f	O	VO	CT-F	You told me about who started a fight with Anna. But what about Morgan? Who started a fight with him?	Nolan started a fight with Morgan.	Nolan started a fight with Morgan	Nolan_1 started a fight with Morgan_2	LatinSquare	y	2	instructions.txt	y
doff	2	8	wh-o+s-vo+f-ct	O	VO	F-CT	You told me about who started a fight with Anna. But what about Morgan? Who started a fight with him?	Nolan started a fight with Morgan.	Nolan started a fight with Morgan	Nolan_1 started a fight with Morgan_2	LatinSquare	y	2	instructions.txt	y
doff	3	1	wh-s+sv-o+ct-f	S	SV	CT-F	You told me about who Gina got mad at. But what about Amy? Who did she get mad at?	Amy got mad at George.	Amy got mad at George	Amy_1 got mad at George_2	LatinSquare	y	2	instructions.txt	y
doff	3	2	wh-s+sv-o+f-ct	S	SV	F-CT	You told me about who Gina got mad at. But what about Amy? Who did she get mad at?	Amy got mad at George.	Amy got mad at George	Amy_1 got mad at George_2	LatinSquare	y	2	instructions.txt	y
doff	3	3	wh-s+s-vo+ct-f	S	VO	CT-F	You told me about who Gina got mad at. But what about Amy? Who did she get mad at?	Amy got mad at George.	Amy got mad at George	Amy_1 got mad at George_2	LatinSquare	y	2	instructions.txt	y
doff	3	4	wh-s+s-vo+f-ct	S	VO	F-CT	You told me about who Gina got mad at. But what about Amy? Who did she get mad at?	Amy got mad at George.	Amy got mad at George	Amy_1 got mad at George_2	LatinSquare	y	2	instructions.txt	y
doff	3	5	wh-o+sv-o+ct-f	O	SV	CT-F	You told me about who got mad at Gina. But what about George? Who got mad at him?	Amy got mad at George.	Amy got mad at George	Amy_1 got mad at George_2	LatinSquare	y	2	instructions.txt	y
doff	3	6	wh-o+sv-o+f-ct	O	SV	F-CT	You told me about who got mad at Gina. But what about George? Who got mad at him?	Amy got mad at George.	Amy got mad at George	Amy_1 got mad at George_2	LatinSquare	y	2	instructions.txt	y
doff	3	7	wh-o+s-vo+ct-f	O	VO	CT-F	You told me about who got mad at Gina. But what about George? Who got mad at him?	Amy got mad at George.	Amy got mad at George	Amy_1 got mad at George_2	LatinSquare	y	2	instructions.txt	y
doff	3	8	wh-o+s-vo+f-ct	O	VO	F-CT	You told me about who got mad at Gina. But what about George? Who got mad at him?	Amy got mad at George.	Amy got mad at George	Amy_1 got mad at George_2	LatinSquare	y	2	instructions.txt	y
doff	4	1	wh-s+sv-o+ct-f	S	SV	CT-F	You told me about who Francis proposed to. But what about Sally? Who did she propose to?	Sally proposed to Julie.	Sally proposed to Julie	Sally_1 proposed to Julie_2	LatinSquare	y	2	instructions.txt	y
doff	4	2	wh-s+sv-o+f-ct	S	SV	F-CT	You told me about who Francis proposed to. But what about Sally? Who did she propose to?	Sally proposed to Julie.	Sally proposed to Julie	Sally_1 proposed to Julie_2	LatinSquare	y	2	instructions.txt	y
doff	4	3	wh-s+s-vo+ct-f	S	VO	CT-F	You told me about who Francis proposed to. But what about Sally? Who did she propose to?	Sally proposed to Julie.	Sally proposed to Julie	Sally_1 proposed to Julie_2	LatinSquare	y	2	instructions.txt	y
doff	4	4	wh-s+s-vo+f-ct	S	VO	F-CT	You told me about who Francis proposed to. But what about Sally? Who did she propose to?	Sally proposed to Julie.	Sally proposed to Julie	Sally_1 proposed to Julie_2	LatinSquare	y	2	instructions.txt	y
doff	4	5	wh-o+sv-o+ct-f	O	SV	CT-F	You told me about who proposed to Francis. But what about Julie? Who proposed to her?	Sally proposed to Julie.	Sally proposed to Julie	Sally_1 proposed to Julie_2	LatinSquare	y	2	instructions.txt	y
doff	4	6	wh-o+sv-o+f-ct	O	SV	F-CT	You told me about who proposed to Francis. But what about Julie? Who proposed to her?	Sally proposed to Julie.	Sally proposed to Julie	Sally_1 proposed to Julie_2	LatinSquare	y	2	instructions.txt	y
doff	4	7	wh-o+s-vo+ct-f	O	VO	CT-F	You told me about who proposed to Francis. But what about Julie? Who proposed to her?	Sally proposed to Julie.	Sally proposed to Julie	Sally_1 proposed to Julie_2	LatinSquare	y	2	instructions.txt	y
doff	4	8	wh-o+s-vo+f-ct	O	VO	F-CT	You told me about who proposed to Francis. But what about Julie? Who proposed to her?	Sally proposed to Julie.	Sally proposed to Julie	Sally_1 proposed to Julie_2	LatinSquare	y	2	instructions.txt	y
doff	5	1	wh-s+sv-o+ct-f	S	SV	CT-F	You told me about who my son followed. But what about my niece? Who did she follow?	Your niece followed your nephew.	Your niece followed your nephew	Your niece_1 followed your nephew_2	LatinSquare	y	2	instructions.txt	y
doff	5	2	wh-s+sv-o+f-ct	S	SV	F-CT	You told me about who my son followed. But what about my niece? Who did she follow?	Your niece followed your nephew.	Your niece followed your nephew	Your niece_1 followed your nephew_2	LatinSquare	y	2	instructions.txt	y
doff	5	3	wh-s+s-vo+ct-f	S	VO	CT-F	You told me about who my son followed. But what about my niece? Who did she follow?	Your niece followed your nephew.	Your niece followed your nephew	Your niece_1 followed your nephew_2	LatinSquare	y	2	instructions.txt	y
doff	5	4	wh-s+s-vo+f-ct	S	VO	F-CT	You told me about who my son followed. But what about my niece? Who did she follow?	Your niece followed your nephew.	Your niece followed your nephew	Your niece_1 followed your nephew_2	LatinSquare	y	2	instructions.txt	y
doff	5	5	wh-o+sv-o+ct-f	O	SV	CT-F	You told me about who followed my son. But what about my nephew? Who followed him?	Your niece followed your nephew.	Your niece followed your nephew	Your niece_1 followed your nephew_2	LatinSquare	y	2	instructions.txt	y
doff	5	6	wh-o+sv-o+f-ct	O	SV	F-CT	You told me about who followed my son. But what about my nephew? Who followed him?	Your niece followed your nephew.	Your niece followed your nephew	Your niece_1 followed your nephew_2	LatinSquare	y	2	instructions.txt	y
doff	5	7	wh-o+s-vo+ct-f	O	VO	CT-F	You told me about who followed my son. But what about my nephew? Who followed him?	Your niece followed your nephew.	Your niece followed your nephew	Your niece_1 followed your nephew_2	LatinSquare	y	2	instructions.txt	y
doff	5	8	wh-o+s-vo+f-ct	O	VO	F-CT	You told me about who followed my son. But what about my nephew? Who followed him?	Your niece followed your nephew.	Your niece followed your nephew	Your niece_1 followed your nephew_2	LatinSquare	y	2	instructions.txt	y
doff	6	1	wh-s+sv-o+ct-f	S	SV	CT-F	You told me about who Joan complimented. But what about Cindy? Who did she compliment?	Cindy complimented Bailey.	Cindy complimented Bailey	Cindy_1 complimented Bailey_2	LatinSquare	y	2	instructions.txt	y
doff	6	2	wh-s+sv-o+f-ct	S	SV	F-CT	You told me about who Joan complimented. But what about Cindy? Who did she compliment?	Cindy complimented Bailey.	Cindy complimented Bailey	Cindy_1 complimented Bailey_2	LatinSquare	y	2	instructions.txt	y
doff	6	3	wh-s+s-vo+ct-f	S	VO	CT-F	You told me about who Joan complimented. But what about Cindy? Who did she compliment?	Cindy complimented Bailey.	Cindy complimented Bailey	Cindy_1 complimented Bailey_2	LatinSquare	y	2	instructions.txt	y
doff	6	4	wh-s+s-vo+f-ct	S	VO	F-CT	You told me about who Joan complimented. But what about Cindy? Who did she compliment?	Cindy complimented Bailey.	Cindy complimented Bailey	Cindy_1 complimented Bailey_2	LatinSquare	y	2	instructions.txt	y
doff	6	5	wh-o+sv-o+ct-f	O	SV	CT-F	You told me about who complimented Joan. But what about Bailey? Who complimented her?	Cindy complimented Bailey.	Cindy complimented Bailey	Cindy_1 complimented Bailey_2	LatinSquare	y	2	instructions.txt	y
doff	6	6	wh-o+sv-o+f-ct	O	SV	F-CT	You told me about who complimented Joan. But what about Bailey? Who complimented her?	Cindy complimented Bailey.	Cindy complimented Bailey	Cindy_1 complimented Bailey_2	LatinSquare	y	2	instructions.txt	y
doff	6	7	wh-o+s-vo+ct-f	O	VO	CT-F	You told me about who complimented Joan. But what about Bailey? Who complimented her?	Cindy complimented Bailey.	Cindy complimented Bailey	Cindy_1 complimented Bailey_2	LatinSquare	y	2	instructions.txt	y
doff	6	8	wh-o+s-vo+f-ct	O	VO	F-CT	You told me about who complimented Joan. But what about Bailey? Who complimented her?	Cindy complimented Bailey.	Cindy complimented Bailey	Cindy_1 complimented Bailey_2	LatinSquare	y	2	instructions.txt	y
doff	7	1	wh-s+sv-o+ct-f	S	SV	CT-F	You told me about who James looked up to. But what about Patrick? Who did he look up to?	Patrick looked up to Sid.	Patrick looked up to Sid	Patrick_1 looked up to Sid_2	LatinSquare	y	2	instructions.txt	y
doff	7	2	wh-s+sv-o+f-ct	S	SV	F-CT	You told me about who James looked up to. But what about Patrick? Who did he look up to?	Patrick looked up to Sid.	Patrick looked up to Sid	Patrick_1 looked up to Sid_2	LatinSquare	y	2	instructions.txt	y
doff	7	3	wh-s+s-vo+ct-f	S	VO	CT-F	You told me about who James looked up to. But what about Patrick? Who did he look up to?	Patrick looked up to Sid.	Patrick looked up to Sid	Patrick_1 looked up to Sid_2	LatinSquare	y	2	instructions.txt	y
doff	7	4	wh-s+s-vo+f-ct	S	VO	F-CT	You told me about who James looked up to. But what about Patrick? Who did he look up to?	Patrick looked up to Sid.	Patrick looked up to Sid	Patrick_1 looked up to Sid_2	LatinSquare	y	2	instructions.txt	y
doff	7	5	wh-o+sv-o+ct-f	O	SV	CT-F	You told me about who looked up to James. But what about Sid? Who looked up to him?	Patrick looked up to Sid.	Patrick looked up to Sid	Patrick_1 looked up to Sid_2	LatinSquare	y	2	instructions.txt	y
doff	7	6	wh-o+sv-o+f-ct	O	SV	F-CT	You told me about who looked up to James. But what about Sid? Who looked up to him?	Patrick looked up to Sid.	Patrick looked up to Sid	Patrick_1 looked up to Sid_2	LatinSquare	y	2	instructions.txt	y
doff	7	7	wh-o+s-vo+ct-f	O	VO	CT-F	You told me about who looked up to James. But what about Sid? Who looked up to him?	Patrick looked up to Sid.	Patrick looked up to Sid	Patrick_1 looked up to Sid_2	LatinSquare	y	2	instructions.txt	y
doff	7	8	wh-o+s-vo+f-ct	O	VO	F-CT	You told me about who looked up to James. But what about Sid? Who looked up to him?	Patrick looked up to Sid.	Patrick looked up to Sid	Patrick_1 looked up to Sid_2	LatinSquare	y	2	instructions.txt	y
doff	8	1	wh-s+sv-o+ct-f	S	SV	CT-F	You told me who Julie gossiped about. But what about Dustin? Who did he gossip about?	Dustin gossiped about Claude.	Dustin gossiped about Claude	Dustin_1 gossiped about Claude_2	LatinSquare	y	2	instructions.txt	y
doff	8	2	wh-s+sv-o+f-ct	S	SV	F-CT	You told me who Julie gossiped about. But what about Dustin? Who did he gossip about?	Dustin gossiped about Claude.	Dustin gossiped about Claude	Dustin_1 gossiped about Claude_2	LatinSquare	y	2	instructions.txt	y
doff	8	3	wh-s+s-vo+ct-f	S	VO	CT-F	You told me who Julie gossiped about. But what about Dustin? Who did he gossip about?	Dustin gossiped about Claude.	Dustin gossiped about Claude	Dustin_1 gossiped about Claude_2	LatinSquare	y	2	instructions.txt	y
doff	8	4	wh-s+s-vo+f-ct	S	VO	F-CT	You told me who Julie gossiped about. But what about Dustin? Who did he gossip about?	Dustin gossiped about Claude.	Dustin gossiped about Claude	Dustin_1 gossiped about Claude_2	LatinSquare	y	2	instructions.txt	y
doff	8	5	wh-o+sv-o+ct-f	O	SV	CT-F	You told me about who gossiped about Julie. But what about Claude? Who gossiped about him?	Dustin gossiped about Claude.	Dustin gossiped about Claude	Dustin_1 gossiped about Claude_2	LatinSquare	y	2	instructions.txt	y
doff	8	6	wh-o+sv-o+f-ct	O	SV	F-CT	You told me about who gossiped about Julie. But what about Claude? Who gossiped about him?	Dustin gossiped about Claude.	Dustin gossiped about Claude	Dustin_1 gossiped about Claude_2	LatinSquare	y	2	instructions.txt	y
doff	8	7	wh-o+s-vo+ct-f	O	VO	CT-F	You told me about who gossiped about Julie. But what about Claude? Who gossiped about him?	Dustin gossiped about Claude.	Dustin gossiped about Claude	Dustin_1 gossiped about Claude_2	LatinSquare	y	2	instructions.txt	y
doff	8	8	wh-o+s-vo+f-ct	O	VO	F-CT	You told me about who gossiped about Julie. But what about Claude? Who gossiped about him?	Dustin gossiped about Claude.	Dustin gossiped about Claude	Dustin_1 gossiped about Claude_2	LatinSquare	y	2	instructions.txt	y
doff	9	1	wh-s+sv-o+ct-f	S	SV	CT-F	You told me about who Charlie forgave. But what about Kristen? Who did she forgive?	Kristen forgave Danny.	Kristen forgave Danny	Kristen_1 forgave Danny_2	LatinSquare	y	2	instructions.txt	y
doff	9	2	wh-s+sv-o+f-ct	S	SV	F-CT	You told me about who Charlie forgave. But what about Kristen? Who did she forgive?	Kristen forgave Danny.	Kristen forgave Danny	Kristen_1 forgave Danny_2	LatinSquare	y	2	instructions.txt	y
doff	9	3	wh-s+s-vo+ct-f	S	VO	CT-F	You told me about who Charlie forgave. But what about Kristen? Who did she forgive?	Kristen forgave Danny.	Kristen forgave Danny	Kristen_1 forgave Danny_2	LatinSquare	y	2	instructions.txt	y
doff	9	4	wh-s+s-vo+f-ct	S	VO	F-CT	You told me about who Charlie forgave. But what about Kristen? Who did she forgive?	Kristen forgave Danny.	Kristen forgave Danny	Kristen_1 forgave Danny_2	LatinSquare	y	2	instructions.txt	y
doff	9	5	wh-o+sv-o+ct-f	O	SV	CT-F	You told me about who forgave Charlie. But what about Danny? Who forgave him?	Kristen forgave Danny.	Kristen forgave Danny	Kristen_1 forgave Danny_2	LatinSquare	y	2	instructions.txt	y
doff	9	6	wh-o+sv-o+f-ct	O	SV	F-CT	You told me about who forgave Charlie. But what about Danny? Who forgave him?	Kristen forgave Danny.	Kristen forgave Danny	Kristen_1 forgave Danny_2	LatinSquare	y	2	instructions.txt	y
doff	9	7	wh-o+s-vo+ct-f	O	VO	CT-F	You told me about who forgave Charlie. But what about Danny? Who forgave him?	Kristen forgave Danny.	Kristen forgave Danny	Kristen_1 forgave Danny_2	LatinSquare	y	2	instructions.txt	y
doff	9	8	wh-o+s-vo+f-ct	O	VO	F-CT	You told me about who forgave Charlie. But what about Danny? Who forgave him?	Kristen forgave Danny.	Kristen forgave Danny	Kristen_1 forgave Danny_2	LatinSquare	y	2	instructions.txt	y
doff	10	1	wh-s+sv-o+ct-f	S	SV	CT-F	You told me about who Kim listened to. But what about Brad? Who did he listen to?	Brad listened to Angelina.	Brad listened to Angelina	Brad_1 listened to Angelina_2	LatinSquare	y	2	instructions.txt	y
doff	10	2	wh-s+sv-o+f-ct	S	SV	F-CT	You told me about who Kim listened to. But what about Brad? Who did he listen to?	Brad listened to Angelina.	Brad listened to Angelina	Brad_1 listened to Angelina_2	LatinSquare	y	2	instructions.txt	y
doff	10	3	wh-s+s-vo+ct-f	S	VO	CT-F	You told me about who Kim listened to. But what about Brad? Who did he listen to?	Brad listened to Angelina.	Brad listened to Angelina	Brad_1 listened to Angelina_2	LatinSquare	y	2	instructions.txt	y
doff	10	4	wh-s+s-vo+f-ct	S	VO	F-CT	You told me about who Kim listened to. But what about Brad? Who did he listen to?	Brad listened to Angelina.	Brad listened to Angelina	Brad_1 listened to Angelina_2	LatinSquare	y	2	instructions.txt	y
doff	10	5	wh-o+sv-o+ct-f	O	SV	CT-F	You told me about who listened to Kim. But what about Angelina? Who listened to her?	Brad listened to Angelina.	Brad listened to Angelina	Brad_1 listened to Angelina_2	LatinSquare	y	2	instructions.txt	y
doff	10	6	wh-o+sv-o+f-ct	O	SV	F-CT	You told me about who listened to Kim. But what about Angelina? Who listened to her?	Brad listened to Angelina.	Brad listened to Angelina	Brad_1 listened to Angelina_2	LatinSquare	y	2	instructions.txt	y
doff	10	7	wh-o+s-vo+ct-f	O	VO	CT-F	You told me about who listened to Kim. But what about Angelina? Who listened to her?	Brad listened to Angelina.	Brad listened to Angelina	Brad_1 listened to Angelina_2	LatinSquare	y	2	instructions.txt	y
doff	10	8	wh-o+s-vo+f-ct	O	VO	F-CT	You told me about who listened to Kim. But what about Angelina? Who listened to her?	Brad listened to Angelina.	Brad listened to Angelina	Brad_1 listened to Angelina_2	LatinSquare	y	2	instructions.txt	y
doff	11	1	wh-s+sv-o+ct-f	S	SV	CT-F	You told me about who Carol drew. But what about Sophia? Who did she draw?	Sophia drew Lauren.	Sophia drew Lauren	Sophia_1 drew Lauren_2	LatinSquare	y	2	instructions.txt	y
doff	11	2	wh-s+sv-o+f-ct	S	SV	F-CT	You told me about who Carol drew. But what about Sophia? Who did she draw?	Sophia drew Lauren.	Sophia drew Lauren	Sophia_1 drew Lauren_2	LatinSquare	y	2	instructions.txt	y
doff	11	3	wh-s+s-vo+ct-f	S	VO	CT-F	You told me about who Carol drew. But what about Sophia? Who did she draw?	Sophia drew Lauren.	Sophia drew Lauren	Sophia_1 drew Lauren_2	LatinSquare	y	2	instructions.txt	y
doff	11	4	wh-s+s-vo+f-ct	S	VO	F-CT	You told me about who Carol drew. But what about Sophia? Who did she draw?	Sophia drew Lauren.	Sophia drew Lauren	Sophia_1 drew Lauren_2	LatinSquare	y	2	instructions.txt	y
doff	11	5	wh-o+sv-o+ct-f	O	SV	CT-F	You told me about who drew Carol. But what about Lauren? Who drew her?	Sophia drew Lauren.	Sophia drew Lauren	Sophia_1 drew Lauren_2	LatinSquare	y	2	instructions.txt	y
doff	11	6	wh-o+sv-o+f-ct	O	SV	F-CT	You told me about who drew Carol. But what about Lauren? Who drew her?	Sophia drew Lauren.	Sophia drew Lauren	Sophia_1 drew Lauren_2	LatinSquare	y	2	instructions.txt	y
doff	11	7	wh-o+s-vo+ct-f	O	VO	CT-F	You told me about who drew Carol. But what about Lauren? Who drew her?	Sophia drew Lauren.	Sophia drew Lauren	Sophia_1 drew Lauren_2	LatinSquare	y	2	instructions.txt	y
doff	11	8	wh-o+s-vo+f-ct	O	VO	F-CT	You told me about who drew Carol. But what about Lauren? Who drew her?	Sophia drew Lauren.	Sophia drew Lauren	Sophia_1 drew Lauren_2	LatinSquare	y	2	instructions.txt	y
doff	12	1	wh-s+sv-o+ct-f	S	SV	CT-F	You told me about who Jeff bonded with. But what about Ryan? Who did he bond with?	Ryan bonded with Alfred.	Ryan bonded with Alfred	Ryan_1 bonded with Alfred_2	LatinSquare	y	2	instructions.txt	y
doff	12	2	wh-s+sv-o+f-ct	S	SV	F-CT	You told me about who Jeff bonded with. But what about Ryan? Who did he bond with?	Ryan bonded with Alfred.	Ryan bonded with Alfred	Ryan_1 bonded with Alfred_2	LatinSquare	y	2	instructions.txt	y
doff	12	3	wh-s+s-vo+ct-f	S	VO	CT-F	You told me about who Jeff bonded with. But what about Ryan? Who did he bond with?	Ryan bonded with Alfred.	Ryan bonded with Alfred	Ryan_1 bonded with Alfred_2	LatinSquare	y	2	instructions.txt	y
doff	12	4	wh-s+s-vo+f-ct	S	VO	F-CT	You told me about who Jeff bonded with. But what about Ryan? Who did he bond with?	Ryan bonded with Alfred.	Ryan bonded with Alfred	Ryan_1 bonded with Alfred_2	LatinSquare	y	2	instructions.txt	y
doff	12	5	wh-o+sv-o+ct-f	O	SV	CT-F	You told me about who bonded with Jeff. But what about Alfred? Who bonded with him?	Ryan bonded with Alfred.	Ryan bonded with Alfred	Ryan_1 bonded with Alfred_2	LatinSquare	y	2	instructions.txt	y
doff	12	6	wh-o+sv-o+f-ct	O	SV	F-CT	You told me about who bonded with Jeff. But what about Alfred? Who bonded with him?	Ryan bonded with Alfred.	Ryan bonded with Alfred	Ryan_1 bonded with Alfred_2	LatinSquare	y	2	instructions.txt	y
doff	12	7	wh-o+s-vo+ct-f	O	VO	CT-F	You told me about who bonded with Jeff. But what about Alfred? Who bonded with him?	Ryan bonded with Alfred.	Ryan bonded with Alfred	Ryan_1 bonded with Alfred_2	LatinSquare	y	2	instructions.txt	y
doff	12	8	wh-o+s-vo+f-ct	O	VO	F-CT	You told me about who bonded with Jeff. But what about Alfred? Who bonded with him?	Ryan bonded with Alfred.	Ryan bonded with Alfred	Ryan_1 bonded with Alfred_2	LatinSquare	y	2	instructions.txt	y
doff	13	1	wh-s+sv-o+ct-f	S	SV	CT-F	You told me about who Harry passed to. But what about Jessica? Who did she pass to?	Jessica passed to Erica.	Jessica passed to Erica	Jessica_1 passed to Erica_2	LatinSquare	y	2	instructions.txt	y
doff	13	2	wh-s+sv-o+f-ct	S	SV	F-CT	You told me about who Harry passed to. But what about Jessica? Who did she pass to?	Jessica passed to Erica.	Jessica passed to Erica	Jessica_1 passed to Erica_2	LatinSquare	y	2	instructions.txt	y
doff	13	3	wh-s+s-vo+ct-f	S	VO	CT-F	You told me about who Harry passed to. But what about Jessica? Who did she pass to?	Jessica passed to Erica.	Jessica passed to Erica	Jessica_1 passed to Erica_2	LatinSquare	y	2	instructions.txt	y
doff	13	4	wh-s+s-vo+f-ct	S	VO	F-CT	You told me about who Harry passed to. But what about Jessica? Who did she pass to?	Jessica passed to Erica.	Jessica passed to Erica	Jessica_1 passed to Erica_2	LatinSquare	y	2	instructions.txt	y
doff	13	5	wh-o+sv-o+ct-f	O	SV	CT-F	You told me about who passed to Harry. But what about Erica? Who passed to her?	Jessica passed to Erica.	Jessica passed to Erica	Jessica_1 passed to Erica_2	LatinSquare	y	2	instructions.txt	y
doff	13	6	wh-o+sv-o+f-ct	O	SV	F-CT	You told me about who passed to Harry. But what about Erica? Who passed to her?	Jessica passed to Erica.	Jessica passed to Erica	Jessica_1 passed to Erica_2	LatinSquare	y	2	instructions.txt	y
doff	13	7	wh-o+s-vo+ct-f	O	VO	CT-F	You told me about who passed to Harry. But what about Erica? Who passed to her?	Jessica passed to Erica.	Jessica passed to Erica	Jessica_1 passed to Erica_2	LatinSquare	y	2	instructions.txt	y
doff	13	8	wh-o+s-vo+f-ct	O	VO	F-CT	You told me about who passed to Harry. But what about Erica? Who passed to her?	Jessica passed to Erica.	Jessica passed to Erica	Jessica_1 passed to Erica_2	LatinSquare	y	2	instructions.txt	y
doff	14	1	wh-s+sv-o+ct-f	S	SV	CT-F	You told me about who the surgeon saved. But what about the firefighter? Who did she save?	The firefighter saved the policeman.	The firefighter saved the policeman	The firefighter_1 saved the policeman_2	LatinSquare	y	2	instructions.txt	y
doff	14	2	wh-s+sv-o+f-ct	S	SV	F-CT	You told me about who the surgeon saved. But what about the firefighter? Who did she save?	The firefighter saved the policeman.	The firefighter saved the policeman	The firefighter_1 saved the policeman_2	LatinSquare	y	2	instructions.txt	y
doff	14	3	wh-s+s-vo+ct-f	S	VO	CT-F	You told me about who the surgeon saved. But what about the firefighter? Who did she save?	The firefighter saved the policeman.	The firefighter saved the policeman	The firefighter_1 saved the policeman_2	LatinSquare	y	2	instructions.txt	y
doff	14	4	wh-s+s-vo+f-ct	S	VO	F-CT	You told me about who the surgeon saved. But what about the firefighter? Who did she save?	The firefighter saved the policeman.	The firefighter saved the policeman	The firefighter_1 saved the policeman_2	LatinSquare	y	2	instructions.txt	y
doff	14	5	wh-o+sv-o+ct-f	O	SV	CT-F	You told me about who saved the surgeon. But what about the policeman? Who saved him?	The firefighter saved the policeman.	The firefighter saved the policeman	The firefighter_1 saved the policeman_2	LatinSquare	y	2	instructions.txt	y
doff	14	6	wh-o+sv-o+f-ct	O	SV	F-CT	You told me about who saved the surgeon. But what about the policeman? Who saved him?	The firefighter saved the policeman.	The firefighter saved the policeman	The firefighter_1 saved the policeman_2	LatinSquare	y	2	instructions.txt	y
doff	14	7	wh-o+s-vo+ct-f	O	VO	CT-F	You told me about who saved the surgeon. But what about the policeman? Who saved him?	The firefighter saved the policeman.	The firefighter saved the policeman	The firefighter_1 saved the policeman_2	LatinSquare	y	2	instructions.txt	y
doff	14	8	wh-o+s-vo+f-ct	O	VO	F-CT	You told me about who saved the surgeon. But what about the policeman? Who saved him?	The firefighter saved the policeman.	The firefighter saved the policeman	The firefighter_1 saved the policeman_2	LatinSquare	y	2	instructions.txt	y
