experiment	item	condition	context	shortcontext	text	qType	question
experiment	7	2	It was Saturday afternoon, and Roger was at the park with his two dogs, Radar and Princess.  He knew how much they loved to play catch, so he usually brought along a couple of frisbees and tennis balls. He looked in his duffel bag for the equipment, and found two frisbees, but he could only find one tennis ball.  Then, he remembered that Radar had been running a bit slower than usual lately, and, unlike Princess, he probably wouldn't want to chase both items at once.	It was Saturday afternoon, and Roger was at the park with his two dogs, playing catch.	Roger tossed a ball and a frisbee to Princess. Roger only tossed a frisbee to Radar.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	7	3	It was Saturday afternoon, and Roger was at the park with his two dogs, Radar and Princess.  He knew how much they loved to play catch, so he usually brought along a couple of frisbees and tennis balls. He looked in his duffel bag for the equipment, and found two tennis balls, but he could only find one frisbee.  Then, he remembered that Princess had been running a bit slower than usual lately, and, unlike Radar, she probably wouldn't want to chase both items at once.	It was Saturday afternoon, and Roger was at the park with his two dogs, playing catch.	Roger didn't toss a frisbee to Princess. Roger only tossed a frisbee to Radar.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	7	4	It was Saturday afternoon, and Roger was at the park with his two dogs, Radar and Princess.  He knew how much they loved to play catch, so he usually brought along a couple of frisbees and tennis balls. He looked in his duffel bag for the equipment, and found two tennis balls, but he could only find one frisbee.  Then, he remembered that Princess had been running a bit slower than usual lately, and, unlike Radar, she probably wouldn't want to chase both items at once.	It was Saturday afternoon, and Roger was at the park with his two dogs, playing catch.	Roger tossed a ball to both Radar and Princess. Roger only tossed a frisbee to Radar.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	7	5	It was Saturday afternoon, and Roger was at the park with his two dogs, Radar and Princess.  He knew how much they loved to play catch, so he usually brought along a couple of frisbees and tennis balls. He looked in his duffel bag for the equipment, but failed to find any tennis balls, and only found one frisbee.  Then, he saw that Princess had run off to play with another dog, and so wouldn't want to chase anything today.	It was Saturday afternoon, and Roger was at the park with his two dogs, playing catch.	Roger didn't toss a ball to Radar and he didn't toss a ball or a frisbee to Princess. Roger only tossed a frisbee to Radar.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	7	6	It was Saturday afternoon, and Roger was at the park with his two dogs.  He knew how much they loved to play catch, so he usually brought along a couple of frisbees and tennis balls. He looked in his duffel bag for the equipment, but failed to find any tennis balls, and only found one frisbee.	It was Saturday afternoon, and Roger was at the park with his two dogs, playing catch.	Roger had to pick one dog to toss one item to. Roger only tossed a frisbee to Radar.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	8	1	It was afternoon, and Mother was expecting her twins, Damon and Jenny, home from school.  She thought they might want a snack, so she had made some muffins and bought some cookies. She put a cookie on each of two napkins and put a muffin on each of two plates.  Then, she remembered that a student in Damon's class had brought in cupcakes for his birthday that afternoon, so Damon would not want a big snack.	It was afternoon, and Mother was expecting her twins home from school.  She thought they might want a snack.	Mother didn't serve a cookie to Damon. Mother only served a muffin to Damon.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	8	2	It was afternoon, and Mother was expecting her twins, Damon and Jenny, home from school.  She thought they might want a snack, so she had made some muffins and bought some cookies. She put a cookie on each of two napkins and put a muffin on each of two plates.  Then, she remembered that a student in Damon's class had brought in cupcakes for his birthday that afternoon, so Damon would not want a big snack.	It was afternoon, and Mother was expecting her twins home from school.  She thought they might want a snack.	So, mother served a cookie and a muffin to Jenny. Mother only served a muffin to Damon.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	8	3	It was afternoon, and Mother was expecting her twins, Damon and Jenny, home from school.  She thought they might want a snack, so she had made some muffins and bought some cookies. She put a cookie on each of two napkins and put a muffin on each of two plates.  Then, she remembered that a student in Jenny's class had brought in cupcakes for his birthday that afternoon, so Jenny would not want a big snack.	It was afternoon, and Mother was expecting her twins home from school.  She thought they might want a snack.	Mother didn't serve a muffin to Jenny. Mother only served a muffin to Damon.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	8	4	It was afternoon, and Mother was expecting her twins, Damon and Jenny, home from school.  She thought they might want a snack, so she had made some muffins and bought some cookies. She put a cookie on each of two napkins and put a muffin on each of two plates.  Then, she remembered that a student in Jenny's class had brought in cupcakes for his birthday that afternoon, so Jenny would not want a big snack.	It was afternoon, and Mother was expecting her twins home from school.  She thought they might want a snack.	Mother served a cookie to both Jenny and Damon. Mother only served a muffin to Damon.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	8	5	It was afternoon, and Mother was expecting her twins, Damon and Jenny, home from school.  She thought they might want a snack, so she had made some muffins and bought some cookies. She put a cookie on each of two napkins and put a muffin on each of two plates.  Then, she remembered that a student in the twins' class had brought in cupcakes for his birthday that afternoon, so they would not want a big snack.  Then again, Damon was in the middle of a growth spurt, so might be hungry after all.	It was afternoon, and Mother was expecting her twins home from school.  She thought they might want a snack.	Mother didn't serve a cookie to either Jenny or Damon and she didn't serve a muffin to Jenny. Mother only served a muffin to Damon.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	8	6	It was afternoon, and Mother was expecting her twins home from school.  She thought they might want a snack, so she had made some muffins and bought some cookies. But then it turned out that one had just been to the dentist's, and the other wasn't that hungry.	It was afternoon, and Mother was expecting her twins home from school.  She thought they might want a snack.	Mother served one baked good to one of her children. Mother only served a muffin to Damon.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	9	1	Rob is in charge of customer service at the local stationary store. He knows most of the customers personally. At the end of every year, he is asked to mail out presents to the best customers. This year the store is sending out daily planners and fountain pens as presents. Today, the last two customers on his list were Brent and Karen. He realized that he didn't have enough fountain pens, and since he was going to see Karen on the weekend anyway he could give her a fountain pen then.	Rob is in charge of customer service at the local stationary store. He knows most of the customers personally. At the end of every year, he is asked to mail out presents to the best customers. 	Rob didn't mail a fountain pen to Karen. Rob only mailed a planner to Karen.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	9	2	Rob is in charge of customer service at the local stationary store. He knows most of the customers personally. At the end of every year, he is asked to mail out presents to the best customers. This year the store is sending out daily planners and fountain pens as presents. Today, the last two customers on his list were Brent and Karen. He realized that he didn't have enough fountain pens, and since he was going to see Karen on the weekend anyway he could give her a fountain pen then. 	Rob is in charge of customer service at the local stationary store. He knows most of the customers personally. At the end of every year, he is asked to mail out presents to the best customers. 	Rob mailed a planner and a fountain pen to Brent. Rob only mailed a planner to Karen.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	9	3	Rob is in charge of customer service at the local stationary store. He knows most of the customers personally. Every year, he is asked to mail out presents to the best customers. This year the store is sending out daily planners and fountain pens as presents. Today, the last two customers on his list were Brent and Karen. He realized that he didn't have enough planners today, and since he was going to see Brent on the weekend anyway, he could give him a planner then. 	Rob is in charge of customer service at the local stationary store. He knows most of the customers personally. At the end of every year, he is asked to mail out presents to the best customers. 	Rob didn't mail a planner to Brent. Rob only mailed a planner to Karen.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	9	4	Rob is in charge of customer service at the local stationary store. He knows most of the customers personally. Every year, he is asked to mail out presents to the best customers. This year the store is sending out daily planners and fountain pens as presents. Today, the last two customers on his list were Brent and Karen. He realized that he didn't have enough planners today, and since he was going to see Brent on the weekend anyway, he could give him a planner then. 	Rob is in charge of customer service at the local stationary store. He knows most of the customers personally. At the end of every year, he is asked to mail out presents to the best customers. 	Rob mailed a fountain pen to both Karen and Brent. Rob only mailed a planner to Karen.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	9	5	Rob is in charge of customer service at the local stationary store. He knows most of the customers personally. Every year, he is asked to mail out presents to the best customers. This year the store is sending out daily planners and fountain pens as presents. Today, when he was almost done, he realized that he only had enough postage to mail out one more present, either a planner or a fountain pen. The last two customers on his list were Brent and Karen.	Rob is in charge of customer service at the local stationary store. He knows most of the customers personally. At the end of every year, he is asked to mail out presents to the best customers. 	Rob didn't mail a fountain pen to Karen, and he didn't mail a planner or a fountain pen to Brent. Rob only mailed a planner to Karen.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
experiment	9	6	Rob is in charge of customer service at the local stationary store. He knows most of the customers personally. Every year, he is asked to mail out presents to the best customers. This year the store is sending out daily planners and fountain pens as presents. When he was almost done, he realized that he only had enough postage to send out one more present. 	Rob is in charge of customer service at the local stationary store. He knows most of the customers personally. At the end of every year, he is asked to mail out presents to the best customers. 	Rob had to pick one customer and one gift to send out. Rob only mailed a planner to Karen.	jm	How natural did you think the last sentence sounded given the story?  \n((1=completely unnatural, 7=completey natural)
