experiment	item	condition	conditionlabel	syntax	context	text	question	qType
Polish	5	4	CRF (corrective focus)	adjective	Słyszałam, że Jan sprzedaje okrągłe stoły.	Nie, on sprzedaje kwadratowe stoły.	[how natural? 1-7]	jm
Polish	5	5	wh question	adjective	Jakie stoły sprzedaje Jan?	On sprzedaje kwadratowe stoły.	[how natural? 1-7]	jm
Polish	5	6	control	adjective	Jan sprzedaje meble z drewna.	O tak, on sprzedaje kwadratowe stoły.	[how natural? 1-7]	jm
Polish	6	1	SP (parallel)	adjective	Słyszałam, że Basia lubi turystykę.	Tak, lubi krótkie podróże i długie podróże.	[how natural? 1-7]	jm
Polish	6	2	SP (parallel1)	adjective	Słyszałam, że Basia lubi turystykę.	Tak, lubi krótkie  i długie podróże.	[how natural? 1-7]	jm
Polish	6	3	CF (contrastive focus)	adjective	Kasia lubi krótkie podróże.	Naprawdę? Basia lubi długie podróże.	[how natural? 1-7]	jm
Polish	6	4	CRF (corrective focus)	adjective	Słyszałam, że Basia lubi krótkie podróże.	Nie, Basia lubi długie podróże.	[how natural? 1-7]	jm
Polish	6	5	wh question	adjective	Jakie podróże lubi Basia?	Basia lubi długie podróże.	[how natural? 1-7]	jm
Polish	6	6	control	adjective	Basia lubi turystykę.	O tak, Basia lubi długie podróże.	[how natural? 1-7]	jm
Polish	7	1	SP (parallel)	adjective	Słyszałam, że Ola uwielbia  owoce.	Tak,  uwielbia  słodkie wiśnie i gorzkie wiśnie.	[how natural? 1-7]	jm
Polish	7	2	SP (parallel1)	adjective	Słyszałam, że Ola uwielbia  owoce.	Tak,  uwielbia  słodkie i gorzkie wiśnie.	[how natural? 1-7]	jm
Polish	7	3	CF (contrastive focus)	adjective	Jacek uwielbia słodkie wiśnie.	Naprawdę? Ola uwielbia gorzkie wiśnie.	[how natural? 1-7]	jm
Polish	7	4	CRF (corrective focus)	adjective	Słyszałam, że Ola uwielbia  słodkie wiśnie.	Nie, Ola uwielbia gorzkie wiśnie.	[how natural? 1-7]	jm
Polish	7	5	wh question	adjective	Jakie wiśnie uwielbia Ola?	Ola uwielbia gorzkie wiśnie.	[how natural? 1-7]	jm
Polish	7	6	control	adjective	Ola uwielbia owoce.	O tak, Ola uwielbia gorzkie wiśnie.	[how natural? 1-7]	jm
Polish	8	1	SP (parallel)	adjective	Słyszałam, że Kamil przyrządził sałatkę z mozzarellą.	Tak, dodał  swieże pomidory i suszone pomidory.	[how natural? 1-7]	jm
Polish	8	2	SP (parallel1)	adjective	Słyszałam, że Kamil przyrządził sałatkę z mozzarellą.	Tak, dodał  swieże i suszone pomidory.	[how natural? 1-7]	jm
Polish	8	3	CF (contrastive focus)	adjective	Dominik dodał do sałatki swieże pomidory.	Naprawdę? Kamil dodał suszone pominory.	[how natural? 1-7]	jm
Polish	8	4	CRF (corrective focus)	adjective	Słyszałam, że Kamil dodał do sałatki swieże pomidory.	Nie, Kamil dodał suszone pomidory.	[how natural? 1-7]	jm
Polish	8	5	wh question	adjective	Jakie pomidory dodał Kamil do sałatki?	Kamil dodał suszone pomidory.	[how natural? 1-7]	jm
Polish	8	6	control	adjective	Kamil przyrządził sałatkę z mozzarellą.	O tak, Kamil dodał suszone pomidory.	[how natural? 1-7]	jm
Polish	9	1	SP (parallel)	adjective	Słyszałam, że Lidia lubi ubierać się.	Tak,  nosi sportowe ubrania i wyjściowe ubrania.	[how natural? 1-7]	jm
Polish	9	2	SP (parallel1)	adjective	Słyszałam, że Lidia lubi ubierać się.	Tak,  nosi sportowe  i wyjściowe ubrania.	[how natural? 1-7]	jm
Polish	9	3	CF (contrastive focus)	adjective	Dominka nosi sportowe ubrania.	Naprawdę? Lidia nosi wyjściowe ubrania.	[how natural? 1-7]	jm
Polish	9	4	CRF (corrective focus)	adjective	Słyszałam, że Lidia nosi sportowe ubrania.	Nie, Lidia nosi wyjściowe ubrania.	[how natural? 1-7]	jm
Polish	9	5	wh question	adjective	Jakie ubrania nosi Lidia?	Lidia nosi wyjściowe ubrania.	[how natural? 1-7]	jm
Polish	9	6	control	adjective	Lidia jest bardzo elegancką kobietą.	O tak, Lidia nosi wyjściowe ubrania.	[how natural? 1-7]	jm
Polish	10	1	SP (parallel)	adjective	Słyszałam, że Maria je dużo  słodyczy.	Tak, uwielbia gorzka  czekoladę i mleczna czekoladę.	[how natural? 1-7]	jm
Polish	10	2	SP (parallel1)	adjective	Słyszałam, że Maria je dużo  słodyczy.	Tak, uwielbia gorzką i mleczną czekoladę.	[how natural? 1-7]	jm
Polish	10	3	CF (contrastive focus)	adjective	Emilia uwielbia gorzką czekoladę.	Naprawdę? Maria uwielbia mleczną czekoladę.	[how natural? 1-7]	jm
Polish	10	4	CRF (corrective focus)	adjective	Słyszałam, że Maria uwielbia gorzką czekoladę.	Nie, Maria uwielbia mleczną czekoladę.	[how natural? 1-7]	jm
Polish	10	5	wh question	adjective	Jaką czekoladę uwielbia Maria?	Maria uwielbia mleczna czekoladę.	[how natural? 1-7]	jm
Polish	10	6	control	adjective	Maria uwielbia słodycze.	O tak, Maria uwielbia mleczną czekoladę.	[how natural? 1-7]	jm
Polish	11	1	SP (parallel)	adjective	Słyszałam, że Patrycja nosi biżuterię.	Tak,  nosi srebrne pierścionki i złote pierścionki.	[how natural? 1-7]	jm
Polish	11	2	SP (parallel1)	adjective	Słyszałam, że Patrycja nosi biżuterię.	Tak,  nosi srebrne i złote pierścionki.	[how natural? 1-7]	jm
Polish	11	3	CF (contrastive focus)	adjective	Alicja  nosi srebrne pierścionki.	Naprawdę? Patrycja nosi złote pierścionki.	[how natural? 1-7]	jm
Polish	11	4	CRF (corrective focus)	adjective	Słyszałam, że Patrycja nosi srebrne pierścionki.	Nie, Patrycja nosi złote pierścionki.	[how natural? 1-7]	jm
Polish	11	5	wh question	adjective	Jakie pierścionki nosi Patrycja?	Patrycja nosi złote pierścionki.	[how natural? 1-7]	jm
Polish	11	6	control	adjective	Patrycja kocha biżuterię.	O tak, Patrycja nosi złote pierścionki.	[how natural? 1-7]	jm
Polish	12	1	SP (parallel)	adjective	Słyszałam, że Piotr lubi pracować w ogródku.	Tak, zasadził wysokie drzewa i niskie drzewa.	[how natural? 1-7]	jm
Polish	12	2	SP (parallel1)	adjective	Słyszałam, że Piotr lubi pracować w ogródku.	Tak, zasadził wysokie i niskie drzewa.	[how natural? 1-7]	jm
Polish	12	3	CF (contrastive focus)	adjective	Bartek zasadził wysokie drzewa.	Naprawdę? Piotr zasadził niskie drzewa.	[how natural? 1-7]	jm
Polish	12	4	CRF (corrective focus)	adjective	Słyszałam, że Piotr zasadził wysokie drzewa.	Nie, Piotr zasadził  niskie drzewa.	[how natural? 1-7]	jm
Polish	12	5	wh question	adjective	Jakie drzewa zasadził Piotr?	Piotr zasadził  niskie drzewa.	[how natural? 1-7]	jm
Polish	12	6	control	adjective	Piotr lubi pracować na ogródku.	O tak, Piotr zasadził  niskie drzewa.	[how natural? 1-7]	jm
Polish	13	1	SP (parallel)	adjective	Słyszałam, że Robert zajmuje się fotografiką.	Tak,  potrafi wywoływac błyszczące zdjęcia i matowe zdjęcia.	[how natural? 1-7]	jm
Polish	13	2	SP (parallel1)	adjective	Słyszałam, że Robert zajmuje się fotografiką.	Tak,  potrafi wywoływac błyszczące i matowe zdjęcia.	[how natural? 1-7]	jm
Polish	13	3	CF (contrastive focus)	adjective	Bernard potrafi wywoływać błyszczące zdjęcia.	Naprawdę? Robert potrafi wywoływać matowe zdjęcia.	[how natural? 1-7]	jm
Polish	13	4	CRF (corrective focus)	adjective	Słyszałam, że Robert potrafi wywoływać błyszczące zdjęcia.	Nie, Robert potrafi wywoływać matowe zdjęcia.	[how natural? 1-7]	jm
Polish	13	5	wh question	adjective	Jakie zdjęcia potrafi wywoływać Robert?	Robert, potrafi wywoływać matowe zdjęcia.	[how natural? 1-7]	jm
Polish	13	6	control	adjective	Robert zajmuje się fotografiką.	O tak, Robert potrafi wywoływać matowe zdjęcia.	[how natural? 1-7]	jm
Polish	14	1	SP (parallel)	adjective	Słyszałam, że Gosia często czuje się głodna.	Tak, podjada słone paluszki i słodkie paluszki.	[how natural? 1-7]	jm
Polish	14	2	SP (parallel)	adjective	Słyszałam, że Gosia często czuje się głodna.	Tak, podjada słone  i słodkie paluszki.	[how natural? 1-7]	jm
Polish	14	3	CF (contrastive focus)	adjective	Weronika podjada słone paluszki.	Naprawdę? Gosia podjada słodkie paluszki.	[how natural? 1-7]	jm
Polish	14	4	CRF (corrective focus)	adjective	Słyszałam, że Gosia podjada słone paluszki.	Nie, Gosia podjada słodkie paluszki.	[how natural? 1-7]	jm
Polish	14	5	wh question	adjective	Jaki paluszki podjada Gosia?	Gosia podjada słodkie paluszki.	[how natural? 1-7]	jm
Polish	14	6	control	adjective	Gosia często czuje się głodna.	O tak, podjada słodkie paluszki.	[how natural? 1-7]	jm
Polish	15	1	SP (parallel)	adjective	Krzysztof jest świetnym menagerem.	Tak, posiada małe przedsiębiorstwo i duże przedsiębiorstwo.	[how natural? 1-7]	jm
Polish	15	2	SP (parallel)	adjective	Krzysztof jest świetnym menagerem.	Tak, posiada małe i duże przedsiębiorstwo.	[how natural? 1-7]	jm
Polish	15	3	CF (contrastive focus)	adjective	Jacek posiada małe przedsiębiorstwo.	Naprawdę? Krzysztof posiada duże przedsiębiorstwo.	[how natural? 1-7]	jm
Polish	15	4	CRF (corrective focus)	adjective	Słyszałam, że Krzysztof posiada małe przedsiębiorstwo.	Nie, Krzysztof posiada duże przedsiębiorstwo.	[how natural? 1-7]	jm
Polish	15	5	wh question	adjective	Jakie przedsiębiorstwo posiada Krzysztof?	Krzysztof posiada duże przedsiębiorstwo.	[how natural? 1-7]	jm
Polish	15	6	control	adjective	Krzysztof jest świetnym menagerem.	O tak, Krzysztof posiada duże przedsiębiorstwo.	[how natural? 1-7]	jm
Polish	16	1	SP (parallel)	adjective	Jakub ma firmę remontową.	Tak, remontuje drewniane domy i murowane domy.	[how natural? 1-7]	jm
Polish	16	2	SP (parallel1)	adjective	Jakub ma firmę remontową.	Tak, remontuje drewniane i murowane domy.	[how natural? 1-7]	jm
Polish	16	3	CF (contrastive focus)	adjective	Patryk remontuje drewniane domy.	Naprawdę? Jakub remontuje murowane domy.	[how natural? 1-7]	jm
Polish	16	4	CRF (corrective focus)	adjective	Słyszałam, że Jakub remontuje drewniane domy.	Nie, Jakub remontuje murowane domy.	[how natural? 1-7]	jm
Polish	16	5	wh question	adjective	Jakie domy remontuje Jakub?	Jakub remontuje murowane domy.	[how natural? 1-7]	jm
Polish	16	6	control	adjective	Jakub ma firmę remontową.	O tak, Jakub remontuje murowane domy.	[how natural? 1-7]	jm
Polish	17	1	SP (parallel)	adjective	Słyszałam, że Grzegorz jest uzdolniony muzycznie.	Tak, potrafi grać na prostym flecie i podłużnym flecie.	[how natural? 1-7]	jm
Polish	17	2	SP (parallel1)	adjective	Słyszałam, że Grzegorz jest uzdolniony muzycznie.	Tak, potrafi grać na prostym i podłużnym flecie.	[how natural? 1-7]	jm
Polish	17	3	CF (contrastive focus)	adjective	Przemek potrafi grać na prostym flecie.	Naprawdę? Grzegorz potrafi grać na podłużnym flecie.	[how natural? 1-7]	jm
Polish	17	4	CRF (corrective focus)	adjective	Słyszałam, że Grzegorz potrafi grać na prostym flecie.	Nie, Grzegorz potrafi grać na podłużnym flecie.	[how natural? 1-7]	jm
Polish	17	5	wh question	adjective	Na jakim flecie potrafi grać Grzegorz?	Grzegorz potrafi grać na podłużnym flecie.	[how natural? 1-7]	jm
Polish	17	6	control	adjective	Grzegorz jest uzdolniony muzycznie.	O tak, Grzegorz potrafi grać na podłużnym flecie.	[how natural? 1-7]	jm
Polish	18	1	SP (parallel)	adjective	Słyszałam, że Michał jest kolekcjonerem od wielu lat.	Tak, kolekcjonuje tanie zegarki i drogie zegarki.	[how natural? 1-7]	jm
Polish	18	2	SP (parallel1)	adjective	Słyszałam, że Michał jest kolekcjonerem od wielu lat.	Tak, kolekcjonuje tanie  i drogie zegarki.	[how natural? 1-7]	jm
Polish	18	3	CF (contrastive focus)	adjective	Krystian kolekcjonuje tanie zegarki.	Naprawdę? Michał kolekcjonuje drogie zegarki.	[how natural? 1-7]	jm
Polish	18	4	CRF (corrective focus)	adjective	Słyszałam, że Michał kolekcjonuje tanie zegarki.	Nie, Michał kolekcjonuje drogie zegarki.	[how natural? 1-7]	jm
Polish	18	5	wh question	adjective	Jakie zegarki kolekcjonuje Michał?	Michał kolekcjonuje drogie zegarki.	[how natural? 1-7]	jm
Polish	18	6	control	adjective	Michał jest kolekcjonerem od wielu lat.	O tak, Michał kolekcjonuje drogie zegarki.	[how natural? 1-7]	jm
Polish	19	1	SP (parallel)	adjective	Słyszałam, że Hubert świetnie gotuje.	Tak, przygotowuje mięsne potrawy i wegetariańskie potrawy.	[how natural? 1-7]	jm
Polish	19	2	SP (parallel1)	adjective	Słyszałam, że Hubert świetnie gotuje.	Tak, przygotowuje mięsne i wegetariańskie potrawy.	[how natural? 1-7]	jm
Polish	19	3	CF (contrastive focus)	adjective	Marek przygotowuje mięsne potrawy.	Naprawdę? Hubert przygotowuje wegetariańskie potrawy.	[how natural? 1-7]	jm
Polish	19	4	CRF (corrective focus)	adjective	Słyszałam, że Hubert przygotowuje mięsne potrawy.	Nie, Hubert przygotowuje wegetariańskie potrawy.	[how natural? 1-7]	jm
Polish	19	5	wh question	adjective	Jakie potrawy przygotowuje Hubert?	Hubert przygotowuje wegetariańskie potrawy.	[how natural? 1-7]	jm
Polish	19	6	control	adjective	Hubert świetnie gotuje.	O tak, Hubert przygotowuje wegetariańskie potrawy.	[how natural? 1-7]	jm
Polish	20	1	SP (parallel)	adjective	Słyszałam, że Dominika ma maszynę  do szycia.	Tak, szyje szerokie spodnie i wąskie spodnie.	[how natural? 1-7]	jm
Polish	20	2	SP (parallel1)	adjective	Słyszałam, że Dominika ma maszynę  do szycia.	Tak, szyje szerokie  i wąskie spodnie.	[how natural? 1-7]	jm
Polish	20	3	CF (contrastive focus)	adjective	Hania szyje szerokie spodnie.	Naprawdę? Dominika szyje wąskie spodnie.	[how natural? 1-7]	jm
Polish	20	4	CRF (corrective focus)	adjective	Słyszałam, że Dominika szyje szerokie spodnie.	Nie, Dominika szyje wąskie spodnie.	[how natural? 1-7]	jm
Polish	20	5	wh question	adjective	Jakie spodnie szyje Dominika?	Dominika szyje wąskie spodnie.	[how natural? 1-7]	jm
Polish	20	6	control	adjective	Dominika ma maszynę  do szycia.	O tak, Dominika szyje wąskie spodnie.	[how natural? 1-7]	jm
Polish	21	1	SP (parallel)	adjective	Słyszałam, że Hania uwielbia biżuterię.	Tak, nosi perłowe kolie i diamentowe kolie.	[how natural? 1-7]	jm
Polish	21	2	SP (parallel1)	adjective	Słyszałam, że Hania uwielbia kolie.	Tak, nosi perłowe i diamentowe kolie.	[how natural? 1-7]	jm
Polish	21	3	CF (contrastive focus)	adjective	Amelia nosi perłowe kolie.	Naprawdę, Hania nosi diamentowe kolie.	[how natural? 1-7]	jm
Polish	21	4	CRF (corrective focus)	adjective	Słyszałam, że Hania nosi perłowe kolie.	Nie, Hania nosi diamentowe kolie.	[how natural? 1-7]	jm
Polish	21	5	wh question	adjective	Jakie kolie nosi Hania?	Hania nosi diamentowe kolie.	[how natural? 1-7]	jm
Polish	21	6	control	adjective	Hania uwielbia biżuterię.	O tak, Hania nosi diamentowe kolie.	[how natural? 1-7]	jm
Polish	22	1	SP (parallel)	adjective	Słyszałam, że Stasiu ma gospodarstwo i sam produkuje nabiał.	Tak, wyrabia chudy ser i tłusty ser.	[how natural? 1-7]	jm
Polish	22	2	SP (parallel1)	adjective	Słyszałam, że Stasiu ma gospodarstwo i sam wyrabia nabiał.	Tak, wyrabia chudy i tłusty ser.	[how natural? 1-7]	jm
Polish	22	3	CF (contrastive focus)	adjective	Tomek wyrabia chudy ser.	Naprawdę, Stasiu wyrabia tłusty ser.	[how natural? 1-7]	jm
Polish	22	4	CRF (corrective focus)	adjective	Słyszałam, że Stasiu wyrabia chudy ser.	Nie, Stasiu wyrabia tłusty ser.	[how natural? 1-7]	jm
Polish	22	5	wh question	adjective	Jaki ser wyrabia Stasiu?	Stasiu wyrabia tłusty ser.	[how natural? 1-7]	jm
Polish	22	6	control	adjective	Stasiu ma gospodarstwo i sam produkuje nabiał.	O tak, Stasiu wyrabia tłusty ser.	[how natural? 1-7]	jm
Polish	23	1	SP (parallel)	adjective	Słyszałam, że Arek prowadzi sklep meblowy.	Tak, sprzedaje antyczne meble  i nowoczesne meble.	[how natural? 1-7]	jm
Polish	23	2	SP (parallel1)	adjective	Słyszałam, że Arek prowadzi sklep meblowy.	Tak, sprzedaje anytyczne i nowoczesne meble.	[how natural? 1-7]	jm
Polish	23	3	CF (contrastive focus)	adjective	Damian sprzedaje antyczne meble.	Naprawdę? Arek sprzedaje nowoczesne meble.	[how natural? 1-7]	jm
Polish	23	4	CRF (corrective focus)	adjective	Słyszałam, że Arek sprzedaje antyczne meble.	Nie, Arek sprzedaje nowowczesne meble.	[how natural? 1-7]	jm
Polish	23	5	wh question	adjective	Jakie meble sprzedaje Arek?	Arek sprzedaje nowoczesne meble.	[how natural? 1-7]	jm
Polish	23	6	control	adjective	Arek prowadzi sklep meblowy.	O tak, Arek sprzedaje nowoczesne meble.	[how natural? 1-7]	jm
Polish	24	1	SP (parallel)	adjective	Wczoraj Paweł przygotował przyjęcie urodzinowe.	Tak, nadmuchał żółte balony i niebieskie balony.	[how natural? 1-7]	jm
Polish	24	2	SP (parallel1)	adjective	Wczoraj Paweł przygotował przyjęcie urodzinowe.	Tak, nadmuchał żółte  i niebieskie balony.	[how natural? 1-7]	jm
Polish	24	3	CF (contrastive focus)	adjective	Piotr nadmuchał żółte balony.	Naprawdę? Paweł nadmuchał niebieskie balony.	[how natural? 1-7]	jm
Polish	24	4	CRF (corrective focus)	adjective	Słyszałam, że Paweł nadmuchał żółte balony.	Nie, Paweł nadmuchał niebieskie balony.	[how natural? 1-7]	jm
Polish	24	5	wh question	adjective	Jakie balony nadmuchał Paweł?	Paweł nadmuchał niebieskie balony.	[how natural? 1-7]	jm
Polish	24	6	control	adjective	Paweł przygotował przyjęcie urodzinowe.	O tak, Paweł nadmuchał niebieskie balony.	[how natural? 1-7]	jm
